Opening,Opening.1,Title,Director,Cast,Studio,Ref,f Title
J A N,1,Boys and Girls,V. Rajagopal,"Arjun Singh, Shaila Lopez",,[3],
J A N,14,Paramasivan,P. Vasu,"Ajith Kumar, Laila, Jayaram",,,
J A N,14,Saravana,K. S. Ravikumar,"Silambarasan, Jyothika, Prakash Raj",,,
J A N,15,Aathi,Ramana,"Vijay, Trisha",,,
J A N,15,Pasa Kiligal,Amirtham,"Prabhu, Murali, Vineeth, Navya Nair, Malavika, Roja, Vadivelu",,,
F E B,2,Dishyum,Sasi,"Jiiva, Sandhya",,,
F E B,10,Amirtham,K. Kannan,"Ganesh, Navya Nair",,,
F E B,10,Chithiram Pesuthadi,Mysskin,"Narain, Bhavana",,,
F E B,10,Idhaya Thirudan,Saran,"Jayam Ravi, Kamna Jethmalani, Prakash Raj",,,
F E B,10,June R,Revathy S. Varma,"Jyothika, Khushbu, Saritha",,,
F E B,10,Kodambakkam,K. P. Jagan,"Nandha, Diya, Tejashree",,,
F E B,17,Kalabha Kadhalan,Igore,"Arya, Renuka Menon, Akshaya",,,
F E B,17,Kalvanin Kadhali,Thamilvaanan,"S. J. Surya, Nayantara",,,
F E B,17,Madrasi,Arjun,"Arjun, Vedhika",,,
F E B,17,Nagareega Komali,Ramji S. Balan,"Bala Joseph, Neetha Sree",,,
F E B,22,Thambi,Seeman,"R. Madhavan, Pooja",,,
F E B,24,Kovai Brothers,Sakthi Chidambaram,"Sathyaraj, Sibiraj, Namitha, Uma, Vadivelu",,,
M A R,10,Oru Kadhal Seiveer,Ravi Bhargavan,"Santhosh, Archana Galrani, Krishna",,,
M A R,10,Sudesi,A. Y. Jeppy,"Vijayakanth, Ashima Bhalla",,,
M A R,17,Mercury Pookkal,S. S. Stanley,"Srikanth, Meera Jasmine",,,
M A R,17,Pattiyal,Vishnuvardhan,"Arya, Bharath, Pooja, Padmapriya",,,
M A R,24,Unarchigal,K. Rajan,"Sriman, Abitha, Abhinayashree",,,
M A R,31,En Kadhale,PC Shekhar,"Naveen, Shrutha Keerthi, Roma Asrani",,[4],
A P R,7,Theenda Theenda,A. P. Muhan,"Shivhasan, Vinod, Preethi Varma, Shravya",,,
A P R,14,Azhagai Irukkirai Bayamai Irukkirathu,Vijay Milton,"Bharath, Mallika Kapoor, Arun Vijay",,,
A P R,14,Pachchak Kuthira,Parthiban,"Parthiban, Namitha",,,
A P R,14,Thirupathi,Perarasu,"Ajith Kumar, Sadha",,,
A P R,14,Thiruttu Payale,Susi Ganesan,"Jeevan, Sonia Agarwal, Malavika, Abbas",,,
M A Y,5,Suyetchai MLA,Guru Dhanapal,"Sathyaraj, Goundamani, Mantra, Abitha",,,
M A Y,12,Kokki,Prabu Solomon,"Karan, Pooja Gandhi",,,
M A Y,12,Madhu,K. Thennarasu,"Githan Ramesh, Priyamani",,,
M A Y,19,Jerry,S. B. Khanthan,"Githan Ramesh, Shruthi Raj, Mumtaj, Meera Vasudevan",,,
M A Y,19,Thalai Nagaram,Suraj,"Sundar C., Jyothirmayi, Vadivelu",,,
M A Y,26,Kalinga,Ram Prabha,"Bala, Nandhana",,,
M A Y,26,Pudhupettai,Selvaraghavan,"Dhanush, Sneha, Sonia Agarwal",,,
M A Y,26,Vanjagan,A. M. Bhaskar,"Sujibala, Prathap, Suman",,,
J U N,2,Don Chera,K. S. Saravanan,"Ranjith, Sujibala",,,
J U N,9,Parijatham,K. Bhagyaraj,"Prithviraj, Saranya Bhagyaraj",,,
J U N,15,Kaivantha Kalai,Pandiarajan,"Prithvi Rajan, Shruthi, Pandiarajan, Malavika",,,
J U N,16,Naalai,Uday Mahesh,"Richard Rishi, Natarajan Subramaniam, Madhumitha",,,
J U N,23,Aacharya,Ravi,"Vignesh, Divya, Nassar",,,
J U N,23,Kusthi,Raj Kapoor,"Prabhu, Karthik, Manya, Flora, Vadivelu",,,
J U N,30,Uyir,Samy,"Srikanth, Sangeetha, Samvrutha Sunil",,,
J U L,6,,Gopal,"Raghava, Deepika",,,Thullura Vayasu
J U L,8,,Chimbu Deven,"Vadivelu, Monika, Tejashree",,,Imsai Arasan 23rd Pulikecei
J U L,14,,V. Rajendra Kumar,"Narain, Uma",,,Thodamale
J U L,14,,Sanjay Ram,"Harikumar, Karthika",,,Thoothukudi
J U L,14,,Yaar Kannan,"Richard, Swarnamalya, Manikandan, Santhoshi",,,Yuga
J U L,21,,Goutham Krishna,"Abbas, Sangeetha, Ravali",Raja & Raju Associates,,47A Besant Nagar Varai
J U L,27,,Mahendran,"Arvind Swamy, Gautami, Ranjitha",,,Sasanam
J U L,27,,Mohan Raja,"Jayam Ravi, Trisha, Prabhu, Richa Pallod",,,Unakkum Enakkum
A U G,4,,Tarun Gopi,"Vishal, Reemma Sen, Sriya Reddy",,,Thimiru
A U G,11,,Jayabharathi,"Sathyaraj, Roja",,,Kurukshetram
A U G,17,,L. Venkatesan,"Githan Ramesh, Gajala, Namitha",,,Nee Venunda Chellam
A U G,25,,Gautham Vasudev Menon,"Kamal Haasan, Jyothika, Kamalinee Mukherjee, Prakash Raj",,,Vettaiyaadu Vilaiyaadu
