Opening,Opening.1,Title,Director,Actors,Genre,Notes,Ref,Cast
J A N,7,Thamizh Desam,Thamizh Selva,"Raghuvannan, Varshini",Drama,,[3],
J A N,14,Aadukalam,Vetrimaran,"Dhanush, Taapsee Pannu, Kishore",Drama,Produced by Five Star Films,[4],
J A N,14,Siruthai,Siva,"Karthi, Tamannaah","Action, Masala",Produced by Studio Green,[4],
J A N,15 (Pongal),Ilaignan,Suresh Krishna,"Pa. Vijay, Remya Nambeesan, Meera Jasmine, Namitha",Drama,Produced by Martin Production,[5],
J A N,15 (Pongal),Kaavalan,Siddique,"Vijay, Asin, Mithra Kurian",Romantic comedy,Produced by Ekaveera Creations,[6],
J A N,15 (Pongal),Sollitharava,S. Sivaraman,"Sivan, Sharmila, Nivedhita",Romance,Produced by Foot Steps Production,[7],
J A N,28,Pathinaaru,D. Sabapathy,"Shiva, Madhu Shalini",Romantic drama,Produced by Passion Movie Makers,[8],
J A N,28,Pazhagiyathe Pirivatharka,S. A. Selvakumar,"Selvam, Tharuna",Romance,Siva Jothi Films Banner,[8],
J A N,28,Vaada Poda Nanbargal,Manigai,"Nandha, Sharran Kumar, Yashika",Romance,Produced by 8 Point Entertainment,[8],
F E B,4,Yuddham Sei,Myshkin,"Cheran, Dipa Shah, Y. Gee. Mahendra",Crime thriller,Produced by AGS Entertainment,[9],
F E B,4,Thoonga Nagaram,Gaurav,"Vimal, Anjali, Bharani, Nishanth, Gaurav",Drama,Produced by Cloud Nine Movies,[9],
F E B,11,Idhu Kadhal Uthirum Kaalam,P.K.Shivashri,"T.Jayanraj, P.K.Shivashri",Romance,,[10],
F E B,11,Nandhi,Thamizhvanan,"Akhil, Sanusha",Drama,Produced by Vision X Media,[10],
F E B,11,Payanam,Radha Mohan,"Nagarjuna, Prakash Raj, Sana Khan, Poonam Kaur","Thriller, Drama",Produced by Silent Movies,[10],
F E B,11,Thambikottai,Ammu Ramesh,"Narain, Poonam Bajwa, Meena","Action, Masala",Produced by Rajeshwari Films,[11],
F E B,11,Varmam,A. S. Lawrence Madhavan,"Akilan, Anaka, Nizhalgal Ravi",Crime thriller,Produced by Crescent Creations,[10],
F E B,18,Aadu Puli,Vijay Prakash,"Aadhi, Poorna, Prabhu",Action,Produced by Global Infotainments,[12],
F E B,18,Nadunisi Naaygal,Gautham Vasudev Menon,"Sameera Reddy, Veera Bahu",Psychological thriller,Produced by Photon Kathaas,[12],
F E B,18,Thappu,Akilan,"Vivan, Rani Chaturvedi, Jennifer",Adult,Produced by SSA Movies,[12],
F E B,25,Aaranin Kaaval,K. Dharmaraj,"Ajay, Sonia Bhat",Drama,Produced by Rogan Films,[13],
F E B,25,Margazhi 16,K. Steven,"Jayanth, Srinidhi",Romance,Produced by Jayavishal Arts,[12],
