Opening,Opening.1,Title,Director,Cast,Genre,Notes,Ref
J A N,6,Madhuvum Mythiliyum,J Jayanthi,"S.Bhuvan, Sriji",Romantic drama,,
J A N,12,Nanban,Shankar,"Vijay, Jiiva, Srikanth, Ileana D'Cruz",Comedy drama,Produced by Gemini Film Circuit,[3]
J A N,13,Kollaikaran,Tamil Selvan,"Vidharth, Sanchita Shetty",Drama,Produced by Prasad Cine Arts,[3]
J A N,14,Vettai,N. Linguswamy,"Arya, R. Madhavan, Sameera Reddy, Amala Paul",Action—masala,Produced by Thirupathi Brothers & UTV Motion Pictures,[3]
J A N,15,Medhai,N. T. G. Saravanan,"Ramarajan, Kaushika",Drama,Produced by Kalaimagal Kalaikoodam,[4]
J A N,26,Paari,Rajini,"Rahul, Teena",Drama,Produced by S Muthu,[5]
J A N,26,Settai Dhanam,Sathish R.,"Krish, Varsha, Chaplin Balu",Drama,Produced by K. Suresh Kumar,[6]
J A N,26,Theni Maavattam,P. R. Kaumaarimuthu,"Gopalkandhan, Varsha",Romance,Produced by Gopalkandhan,[7]
F E B,3,Marina,Pandiraj,"Sivakarthikeyan, Oviya, Jayaprakash",Comedy drama,Produced by Pasanga Productions,[8]
F E B,3,Sengathu Bhoomiyilae,Rathna Kumar,"Pawan, Mirchi Senthil, Priyanka Nair, Sunu Lakshmi",Drama,Produced by Swami Cine Arts,[8]
F E B,10,Dhoni,Prakash Raj,"Prakash Raj, Akash Puri, Radhika Apte",Drama,Produced by Duet Movies Simultaneously shot in Telugu as Dhoni,[9]
F E B,10,Oru Mazhai Naangu Saaral,Anand,"Ravi, Sudharshan, Ramya",Romance,Produced by CK3 Productions,[9]
F E B,10,Oru Nadigaiyin Vaakkumoolam,Rajkrishna,"Sonia Agarwal, Sukran, Kovai Sarala, Ganja Karuppu",Drama,Produced by SG Films,[9]
F E B,10,Soozhnilai,T. Senthuran,"Sathya, Paveena, Dhina, Nizhalgal Ravi",Drama,Produced by Global Television,[9]
F E B,10,Vachathi,Ravi Thambi,"Rethna Ramesh, Dharshana, Y. Gee. Mahendra",Drama,Produced by Olympia Productions,[9]
F E B,10,Vilayada Vaa,Vijay Nantha,"Viswanath Balaji, Divya Padmini",Sports,Produced by K. Thripurasundari,[9]
F E B,17,Ambuli,Hari Shankar Hareesh Narayan,"R. Parthiban, R. Ajai, P. S. Srijith, Sanam Shetty",Fantasy,Released in 3D,[10]
F E B,17,Kadhalil Sodhappuvadhu Yeppadi,Balaji Mohan,"Siddharth, Amala Paul",Romantic comedy,Produced by YNot Studios & Etaki Entertainment Simultaneously shot in Telugu as Love Failure,[11]
F E B,17,Muppozhudhum Un Karpanaigal,Elred Kumar,"Adharvaa, Amala Paul",Romantic thriller,Produced by R. S. Infotainment,[10]
F E B,17,Udumban,Ramji S. Balan,"Dilip Rogger, Sana, Geetika",Action—drama,Produced by Modern Cinema,[10]
F E B,24,Kadhal Paathai,Vyaasan,"Vinod Kumar, Vidya",Romance,Produced by Sri Balaji Frames,[12]
F E B,24,Virudhanagar Sandhippu,VSD Rengarajan,"Chandru, Denna, K. R. Vijaya",Drama,Produced by ARB Productions,[12]
M A R,2,Aravaan,Vasanthabalan,"Aadhi, Pasupathy, Dhansika, Archana Kavi",Period piece,Produced by Amma Creations,[13]
M A R,2,Kondaan Koduthaan,G. Rajendran,"Kadhir Kaman, Advaitha",Drama,Produced by Ayyappa Art Films,[14]
M A R,2,Shankar Oor Rajapalayam,Veera,"Kanthesh, Hasika, Arun, Veerapandiyan",Drama,Produced by Golden Pictures,[14]
M A R,9,Naanga,Selva,"Sanjay Krishna, Vinod, Nivas, Udhay, Kasthuri, Vishnu Priya, Shivani Bhai",Drama,Produced by Sri Rajalakshmi Films,[15]
M A R,9,Pathirama Pathukkunga,C. Somasundaram,"Sharan, Swathi, Vaiyapuri",Drama,Produced by Saran Dot Creatives,[15]
M A R,9,Sevarkkodi,R. Subramanian,"Arun Balaji, Bhama",Romance,Produced by Bannari Pictures,[15]
M A R,16,Kazhugu,Sathyasiva,"Krishna Sekhar, Bindu Madhavi, Thambi Ramaiah",Comedy thriller,,[16]
M A R,16,Maasi,G. Kicha,"Arjun, Archana Gupta, Hema, Kota Srinivasa Rao",Action,Produced by Anbu Lakshmi Films,[17]
M A R,16,Vinmeengal,Vignesh Menon,"Rahul Ravindran, Anuja Iyer, Shikha",Drama,,[16]
M A R,23,Aayiram Muthangaludan Thenmozhi,Shanmugha Raj,"Venkatesh, Akshara",Adult Comedy,Produced by Dwarakamai Creations,[18]
M A R,23,Kadhal Pisase,Aravindan,"Aravindan, Anitha Reddy, Midhuna, Santhanam",Comedy,Produced by Dream Art Creations,[18]
M A R,23,Kantha,K. Vishwanath,"Karan, Mithra Kurian",Drama,Produced by VP Films,[18]
M A R,23,Nanda Nanditha,Rama Siva,"Hemachandran, Meghana Raj, Surya Pratap",Romance,Produced by Franch Pictures,[18]
M A R,30,3,Aishwarya R. Dhanush,"Dhanush, Shruti Haasan",Romantic drama,Produced by R. K. Productions,[19]
M A R,30,Meeravudan Krishna,A. Krishna,"A. Krishna, Shwetha, Radha",Romance,Produced by Duvarmayee Creations,[18]
M A R,30,Mudhalvar Mahatma,A. Balakrishnan,"Kanakaraj, Anupam Kher",Biographical,,[18]
M A R,30,Othakkuthirai,J. Srinivasan,"Thiru, Anu Krishna",Romantic drama,Produced by Ponnu Swamy,
M A R,30,Otha Veedu,Balu Malarvannan,"Dileep Kumar, Jahnavi Kamath",Thriller,Produced by Dev Kumar,[18]
M A R,30,Sooriya Nagaram,Ma. Chellamuthu,"Rahul Ravindran, Meera Nandan, R. V. Udayakumar",Drama,Produced by SKP. Rajan,[18]
M A R,30,Star 67,"Triden V. Balasingam, Kathi Selvakumar","Imman Kannan, Yasotha, Hamaltan Christy, Malarvilly Varatharaja",Crime thriller,Produced by Wotar Sound Pictures,[20]
A P R,1,Konjam Mainakale,Karthikeyan APK,"Udhai, Moganapriya and Akshatha",Romance,Produced by S. Sathyanarayanan,[21]
A P R,6,Asthamanam,Bandi Sarojkumar,"Munnar Ramesh, Rajesh Kanagasabai, Victoria, Vidya, Sharan, Raghu",Romance,Produced by Char Productions,[21]
A P R,6,Mazhaikaalam,S. Deepan,"Sreeram, Saranya Nag, Ganja Karuppu",Romance,Produced by A. R. Screens,[21]
A P R,6,Nandu Bhaskar,,,,,[21]
A P R,13,Oru Kal Oru Kannadi,M. Rajesh,"Udhayanidhi Stalin, Hansika Motwani, Santhanam",Comedy,Produced by Red Giant Movies,[22]
A P R,13,Pachai Engira Kaathu,Keera,"Vaasagar, Saranya, Appukutty Saravanan",Drama,Produced by Aa Thirai Nirvaanam,[22]
A P R,20,Aduthathu,Thakkaali Srinivasan,"Sriman, Meenal, Darshini, Nassar",Thriller,Produced by Suthradhaar Film production,[23]
A P R,20,Mattuthavani,Pavithran,"Vimal, Soori",Drama,,[23]
A P R,20,Mye,Chi. Ra. Gopalan,"Vishnupriyan, Shweta Prasad",Political drama,Produced by Padmalaya Cine Vision,[23]
A P R,20,Ooh La La La,Jyothi Krishna,"Jyothi Krishna, Divya Bhandari",Romance,Produced by Marshal Power Media,[23]
A P R,27,Aathi Narayana,Vetrivendhan,"Kajan, Meera Jasmine",Drama,Produced by Box Office Productions,[24]
A P R,27,Leelai,Andrew Louis,"Shiv Panditt, Manasi Parekh, Santhanam",Romance,Produced by Aascar Films,[24]
A P R,27,Padam Parthu Kadhai Sol,Benjamin Prabhu,"Tarun Shatriya, Shikha, Darshan",Suspense thriller,Produced by APM Productions,[24]
M A Y,4,Gaantham,V. M. Saravanan,"Tej, Rashmi, Pandiarajan",Romance,Produced by New Moon Studios,[25]
M A Y,4,Parama Guruµ,J. S. Manimaran,"J. S. Manimaran, Sreeja",Drama,Produced by JS Screens,[25]
M A Y,4,Vazhakku Enn 18/9,Balaji Sakthivel,"Sri, Mithun Murali, Urmila Mahanta, Manisha Yadav",Drama,Produced by Thirupathi Brothers,[25]
M A Y,11,Kalakalappu,Sundar C.,"Vimal, Shiva, Anjali, Oviya, Santhanam",Comedy,Produced by UTV Motion Pictures & Avni Cinemax,[26]
M A Y,18,Kandathum Kanathathum,Seelan,"Vikas, Swasika",Romance,Produced by Sankara Pandian films,[27]
M A Y,18,Raattinam,Thangasamy,"Laguparan, Swathi, Ajay Athith",Romance,Produced by Raja Rathinam films,[27]
M A Y,25,Anbulla Manvizhiye,Bramman,"Sunil, Nazir, Hasini, Risha, Vadivukkarasi",Romance,,[28]
M A Y,25,Ishtam,Prem Nizar,"Vimal, Nisha Aggarwal",Romance,Produced by Balaji Real Media,[28]
M A Y,25,Konjum Mainakkale,Karthikeyan,"Udhay, Mohanapriya, Akshatha",Drama,Produced by Satya Creations,[28]
J U N,1,Idhayam Thiraiarangam,Ramki Ramakrishnan,"Anand, Swetha, Manobala, Kavitha",Romance,Produced by Tamil Film Corporation,[29]
J U N,1,Manam Kothi Paravai,Ezhil,"Sivakarthikeyan, Athmiya Rajan",Romantic comedy,Produced by Olympia Movies,[29]
J U N,1,Mayanginen Thayanginen,Vendhan,"Nithin Sathya, Disha Pandey",,,[29]
J U N,1,Thadaiyara Thaakka,Magizh Thirumeni,"Arun Vijay, Mamta Mohandas",Action,Produced by Feather Touch Entertainment,[29]
J U N,8,Krishnaveni Panjaalai,Dhanapal Padmanabhan,"Hemachandran, Nandana, Rajiv Krishna",Romance,Produced by Minveli Media Works,[30]
J U N,8,Porkodi 10am Vaguppu,Pazha Suresh,"Praveen, Brindha",Drama,Produced by New Teamwork Production,[30]
J U N,8,Thoothuvan,Mohan Roop,"Aditya, Gowri, Archana, Nikhil",Drama,Produced by Pioneer Movies,[30]
J U N,15,Marupadiyum Oru Kadhal,Vasu Baskar,"Anirudh, Jyoshna, Suman, Vadivelu",Romance,,[31]
J U N,15,Murattu Kaalai,K. Selva Bharathy,"Sundar C, Sneha, Sindhu Tolani",Action-masala,Produced by Soorya Productions,[31]
J U N,22,Saguni,Shankar Dayal,"Karthi, Pranitha, Santhanam, Kota Srinivasa Rao, Raadhika",Political satire,Produced by Dream Warrior Pictures,[32]
J U L,6,Naan Ee,S. S. Rajamouli,"Nani, Samantha, Sudeep",Fantasy,Produced by PVP Cinema,[33]
J U L,13,Billa II,Chakri Toleti,"Ajith Kumar, Parvathy Omanakuttan, Bruna Abdullah, Vidyut Jamwal, Sudhanshu Pandey",Gangster-thriller,Produced by Wide Angle Creations & IN Entertainment,[34]
J U L,27,Maalai Pozhudhin Mayakathilaey,Narayan Nagendra Rao,"Aari, Shubha Phutela",Romance,Produced by Sri Lakshmi Narasimha Creations,[35]
J U L,27,Pechiyakka Marumagan,V. P. Bala Kumar,"Tarun Gopi, Urvashi, Thambi Ramaiah",Drama,,[35]
J U L,27,Pollangu,Gandhi Marx,"Ravi Rahul, Nisha Lalwani",Crime thriller,,[35]
J U L,27,Suzhal,Jayan R Krishnaa,"Atul Kulkarni, Fariz, Hemachandran, Prathap K. Pothan, Nizhalgal Ravi",Action,Produced by Whyte Infotainment,[35]
A U G,2,Madhubana Kadai,Kamala Kannan,"Karthivel, Dhyana, Arvind Annamalai",Comedy,Produced by Montage Media Productions,[36]
A U G,2,Mirattal,Madhesh,"Vinay Rai, Sharmila Mandre, Prabhu",Masala,Produced by Metronet Multimedia,[36]
A U G,3,Aasami,Aandar Raj,"Ramesh, Santhana Bharathi, Pandu, Shakeela, Aarthi",Drama,,[36]
A U G,3,Yugam,Sribavansekar,"Rahul Madhav, Deepthi Nambiar",Drama,,[36]
A U G,10,Adhisaya Ulagam,Shakthi Scott,"Livingston, Ananda Kannan, Prithvi, Sreelakshmy, Latha Rao",Fantasy,,[37]
A U G,10,Eppadi Manasukkul Vanthai,P. V. Prasad,"Vishva, Irfaan, Tanvi Vyas",Romance,,[37]
A U G,10,Palayamkottai,G. Shekar,"G. Shekar, Inbanila, Bose Venkat",Action,Produced by Visalatchi Amma Creations,[37]
A U G,10,Panithuli,Natty Kumar,"Ganesh Venkatraman, Shobhana Shankar, Kalpana Pandit",Romance,Produced by Dreams On Frames and House Of Pandit,[37]
A U G,10,Sri Ramakrishna Darshanam,G. N. Dass,"Shashi Kumar, Lakshmi, Delhi Ganesh",Drama,,[37]
A U G,15,Attakathi,Pa. Ranjith,"Dinesh, Nandita Swetha, Aishwarya Rajesh",Romantic comedy,Produced by Thiru Kumaran Entertainment,[38]
A U G,15,Iruvan,E. S. Muruganandam,"Praveen, Prakash, Shaina",Drama,Produced by Zion Pictures,[39]
A U G,15,Naan,Jeeva Shankar,"Vijay Antony, Siddharth Venugopal, Rupa Manjari, Vibha Natarajan, Anuya Bhagvath",Crime thriller,Produced by Vijay Antony Corporation,[40]
A U G,17,Etho Seithai Ennai,Elvin Bosser,"Shakthi, Liyasree, Anand, Anand Babu",Drama,,[41]
A U G,17,Pandi Oliperukki Nilayam,Rasu Madhuravan,"Sabarish, Sunaina, Soori, Karunas",Romantic comedy,,[41]
A U G,17,Poovampatty,Pudugai Marisa,"Sandeep, Sri Shalini, Lavanya, Vaagai Chandrasekar",,,[41]
A U G,24,18 Vayasu,R. Panneerselvam,"Johnny, Gayathrie Shankar",Psychological thriller,Produced by NIC Arts,[42]
A U G,24,Aachariyangal,Harshavardhan,"Thaman Kumar, Aishwarya Rajesh, Reethu Mangal, Narayanan",,,[42]
A U G,24,Anil,ARS,"Anil Bharath, Ashrith Bhanu",,,[42]
A U G,24,Avan Appadithan,SP Raja,"Jayan Vaikuntha, Karuna, Della Raj, Sasha, Babilona",Adult thriller,,[42]
A U G,24,Perumaan,J. Rajesh Kannan,"Arjun, Shruti, Sriram Vedam",,,
A U G,31,Mugamoodi,Mysskin,"Jiiva, Narain, Pooja Hegde, Nassar, Selvaah",Superhero,Produced by UTV Motion Pictures,[43]
A U G,31,Valiban Suttrum Ulagam,AR Lalithaswamy,"MGR Siva, MGR Hari",Spoof,,[43]
S E P,7,Arakkonam,S. S. Reddy,"Sriman, Prachi Adhikari, Ponnambalam",Crime thriller,Produced by Ramana Gudipati and S. S. Reddy,[44]
S E P,7,Kalla Parunthu,Idhayan,"Amsavel, Manju, Shobana",Adult Romance,,[44]
S E P,7,Mannaru,S. Jaishankar,"Appukutty, Thambi Ramaiah, Swathy, Vaishali",Drama,Produced by Suji & Rathna Films,[44]
S E P,7,Paagan,Aslam,"Srikanth, Janani Iyer, Kovai Sarala",Romantic comedy,Produced by V P Productions,[44]
S E P,14,Nellai Santhippu,Naveen,"Rohit, Bhushan, Megha Nair Devika",Drama,Produced by T Creations Thirumalai,[45]
S E P,14,Sundarapandian,S. R. Prabhakaran,"M. Sasikumar, Lakshmi Menon, Vijay Sethupathi, Soori",Drama,Produced by Company Production,[45]
S E P,19,Chaarulatha,Pon Kumaran,"Priyamani, Skanda, Saranya Ponvannan, Seetha",Horror,Produced by Global One Studios,[46]
S E P,19,Saattai,Anbazhagan,"Samuthirakani, Mahima Nambiar, Ajmal Khan, Thambi Ramaiah, Swasika",Drama,Produced by Shalom Creations,[46]
S E P,28,Thaandavam,A. L. Vijay,"Vikram, Anushka Shetty, Amy Jackson, Lakshmi Rai",Action,Produced by UTV Motion Pictures,[47]
O C T,5,,,,,,
O C T,5,Pudhiya Kaaviyam,Pe Na Ramesh,"Dilip, Jahnavi Kamath, Athesh, Alwha Vasu",Drama,,[48]
O C T,5,Sembattai,Ganesh,"Dileepan, Srijith, Gowri Nambiar",Drama,,[48]
O C T,12,Maattrraan,K. V. Anand,"Suriya, Kajal Aggarwal, Tara, Sachin Khedekar",Action thriller,Produced by AGS Entertainment,[49]
O C T,12,Soundarya,Chandramohan,"Govind, 'Killer' Kasim, Rithoosan, Sarath, Santosh",Erotic thriller,,[49]
O C T,19,Amridha Yokam,A Manicka Raj,"Sridhar, Vennila",Drama,,[50]
O C T,19,Koyambedu Perundhu Nilayam,R. Manivasagan,"Ashok, Anvitha",Romance,,[50]
O C T,19,Pizza,Karthik Subburaj,"Vijay Sethupathi, Remya Nambeesan",Romantic thriller,Produced by Thirukumaran Entertainment,[50]
O C T,19,Thiruthani,Perarasu,"Bharath, Sunaina, Rajkiran, Pandiarajan",Action,,[50]
O C T,26,Aarohanam,Lakshmy Ramakrishnan,"Viji Chandrasekhar, Jayaprakash, Uma Padmanabhan",Drama,Produced by AVA Productions,[51]
O C T,26,Chakravarthy Thirumagan,L. Purushottaman,MGR Siva,Comedy,,[51]
O C T,26,Mayilu,Jeevan,"Sri, Shammu",Drama,Produced by Duet Movies,[51]
O C T,26,Vavval Pasanga,Suresh,"Rahul, Utthara Unni",Drama,Produced by Sree Raji Movies,[51]
N O V,2,Ariyaan,P. Karthikeyan,"Santosh Bhavan, Ragini Dwivedi",,,[52]
N O V,2,Asaivam,Kishore,"Sidhaarth, Jennifer, Srija",Romance,,[52]
N O V,2,Magan,,,,,[52]
N O V,2,Yaarukku Theriyum,Ganesan Kamaraj,"Kalabhavan Mani, Nishan, Jayaprakash, Riyaz Khan, Harish Raj, Sanjana Singh",Thriller,Produced by Arubere Art Ventura Pvt Ltd,[52]
N O V,9,Ajantha,Rajppa Ravishankar,"Ramana, Vinu Mohan, Honey Rose, Sai Kiran, Vandana Gupta",,,[53]
N O V,13,Ammavin Kaipesi,Thangar Bachan,"Shanthnu Bhagyaraj, Iniya",Drama,Produced by Thankar Thiraikalam,[54]
N O V,13,Kasi Kuppam,Arun,"Aadarsh, Archana",Drama,Produced by Balamurugan films,[55]
N O V,13,Podaa Podi,Vignesh Shivaa,"Silambarasan, Varalaxmi Sarathkumar, Shobana",Romance,Produced by Gemini Film Circuit,[54]
