Opening,Opening.1,Title,Director,Cast,Genre,Producer,Ref
J A N,1,Azhagu Kutti Chellam,Charles,"Akhil, Riythvika, John Vijay, Karunas",Drama,Mercury Film Network,
J A N,1,Karai Oram,Jagadish Kumar,"Nikesha Patel, Iniya, Vasistha, Simran",Mystery,RJ Combines,
J A N,1,Maalai Naerathu Mayakkam,Gitanjali Selvaraghavan,"Balakrishna Kola, Wamiqa Gabbi, Parvathy Nair, Sharran Kumar",Romantic drama,Beeptone Studios,
J A N,1,Peigal Jaakkirathai,Kanmani,"Jeeva Rathnam, Eshanya Maheshwari, Thambi Ramaiah, Rajendran",Horror comedy,Sri Sai Sarvesh Entertainments,
J A N,1,Tharkappu,R. P. Ravi,"Shakthi Vasudevan, Vaishali Deepak, Sathish Krishnan, Samuthirakani",Action,Kinetoscope Production,
J A N,8,Arithaaram,T. Alexander,"Tamizh, Sangeeth, Soniya",Action,JSV Cinemas,
J A N,8,Kurangu Kaila Poo Maalai,G. Krishna,"Praveen Kumar Rajendran, Jagadeesh, Gautham, Chandini",Romance,Sai Ameer Productions,
J A N,8,Meenakshi Kadhalan Ilangovan,S. N. Hariram,"Selvam, Abhinitha, Chandru, Saravanan",Romance,Povla Film International,
J A N,8,Thigilodu Vilaiyaadu,V. R. P. Manohar,Ravikumar,Horror,Studio Santhosh,
J A N,14,Gethu,Thirukumaran,"Udhayanidhi Stalin, Amy Jackson, Sathyaraj, Vikranth",Action thriller,Red Giant Movies,[22]
J A N,14,Kathakali,Pandiraj,"Vishal, Catherine Tresa",Action thriller,Pasanga Productions & Vishal Film Factory,[22]
J A N,14,Rajinimurugan,Ponram,"Sivakarthikeyan, Keerthy Suresh, Soori, Samuthirakani",Comedy,Thirrupathi Brothers,[22]
J A N,14,Tharai Thappattai,Bala,"Sasikumar, Varalaxmi Sarathkumar",Action drama,B Studios & Company Productions,[22]
J A N,22,Moondraam Ullaga Por,Sugan Kartthi,"Sunil Kumar, Akhila Kishore, Wilson Ng",War drama,Aartin Frames & TRS Studios,
J A N,29,Aranmanai 2,Sundar C.,"Sundar C., Siddharth, Trisha, Hansika Motwani, Poonam Bajwa, Vaibhav",Horror comedy,Avni Cinemax,[22]
J A N,29,Irudhi Suttru,Sudha Kongara,"Madhavan, Ritika Singh, Mumtaz Sorcar",Sports drama,"Thirukumaran Entertainment, UTV Motion Pictures & YNOT Studios",[23]
J A N,29,Naalu Per Naalu Vidhama Pesuvaanga,L. Madhavan,"Indrajith, Devika, Swaminathan",Comedy,Sri Krishna Talkies,
J A N,29,Nanaiyadhe Mazhaiye,Mahendra Ganapathy,"Dinesh, Vaidehi, Shankar",Romance,Kabi & Abi Chithirakatchi,
F E B,5,Bangalore Naatkal,Bhaskar,"Arya, Bobby Simha, Sridivya, Rana Daggubati, Parvathy, Raai Laxmi, Samantha",Comedy drama,PVP cinema & Bommarillu Bhaskar Cinema,
F E B,5,Irandu Manam Vendum,Pradeep Sundar,"Saji Surenderan, Chilanga, Saina",Drama,Holyman Films,
