Opening,Opening.1,Title,Director,Cast,Studio,Ref
J A N,1.0,Aathikka Varkkam,Bagavathy Bala,"Bagavathy Bala, Brintha Ravi, Nagma",S Films,
J A N,1.0,Pei Irukka Bayamen,Kaarthieswaran,"Kaarthieswaran, Gayatri Rema, Muthukaalai",Thilaka Arts,[12]
J A N,8.0,Kulasekara Pattinam,Aalwan,"James, Sreedevi, Aalwan",James International Films,
J A N,8.0,Maara,Dhilip Kumar,"Madhavan, Shraddha Srinath, Sshivada",Pramod Films,[13]
J A N,8.0,Pachaikili,Sri Sai MK Selvam,"Gypsy Rajkumar, Hema, Babu",LK Productions,[14]
J A N,8.0,V,Davinci Saravanan,"Raaghav, Luthiya, Sabitha Anand",True Soul Pictures,[15]
J A N,13.0,Master,Lokesh Kanagaraj,"Vijay, Vijay Sethupathi, Malavika Mohanan",XB Film Creators,[16]
J A N,14.0,Bhoomi,Lakshman,"Jayam Ravi, Nidhhi Agerwal, Ronit Roy",Home Movie Makers,[17]
J A N,14.0,Eeswaran,Suseenthiran,"Silambarasan, Nidhhi Agerwal, Nandita Swetha",Madhav Media,[18]
J A N,15.0,Pulikkuthi Pandi,M. Muthaiah,"Vikram Prabhu, Lakshmi Menon, Samuthirakani",Sun Entertainment,[19]
J A N,22.0,E P KO 306,Sai,"Thara Palanivel, Cheenu Mohan, Sai,",Sai Pictures,
J A N,29.0,Enga Ooru Pookari,Vasatha Saker,"Vasatha Saker, Prakash Shanmugam",Sri Rengaraj Talkies,
J A N,29.0,Kabadadaari,Pradeep Krishnamoorthy,"Sibi Sathyaraj, Nandita Swetha, Nassar",Creative Entertainers and Distributors,[20]
J A N,29.0,Keelakadu,Satyamoorthi Jeyaguru,"Ajay Karthik, Suresh, Suganya",Sathiya Sutha Creations,
J A N,29.0,Kook Giramam,K. Raman,"Shiva, Anitha Selvaraj",SLB Movies,
J A N,29.0,Sencholai,Farook,Farook,Farook Films,
F E B,5.0,Aatkal Thevai,Sakthi Sivan,"Sakthi Sivan, Eeasan Natarajan, Mime Gopi",A4S Cinemas,[21]
