Opening,Opening.1,Title,Director,Cast,Studio,Ref
J A N,14,Dheena,A. R. Murugadoss,"Ajith Kumar, Suresh Gopi, Laila",Vijayam Cine Combines,[4]
J A N,14,Friends,Siddique,"Vijay, Suriya, Devayani, Vijayalakshmi, Vadivelu",Swargachitra,[5]
J A N,14,Looty,Parameshwar,"Sathyaraj, Roja, Mumtaj, Vadivelu, Vivek",Evergreen Movie International,[6]
J A N,14,Nageswari,Rama Narayanan,"Ramya Krishnan, Karan, Prithviraj, Vadivelu, Vivek",Sri Thenandal Films,[7]
J A N,14,Vaanchinathan,Shaji Kailas,"Vijayakanth, Sakshi Shivanand, Ramya Krishnan",Roja Combines,[8]
J A N,29,Nila Kaalam,Gandhi Krishna,"Master Dinesh, Master Udayaraj, Baby Ranjini, Roja",Media Dreams,[9]
F E B,2,Minnale,Gautham Vasudev Menon,"R. Madhavan, Reemma Sen, Abbas, Nagesh, Vivek",Cee I TV Entertainments,[10]
F E B,9,Engalukkum Kaalam Varum,Bala Rooban,"Livingston, Kausalya, Vivek, Vadivelu",Anbalaya Films,[11]
F E B,9,Ullam Kollai Poguthae,Sundar C.,"Prabhu Deva, Anjala Zhaveri, Karthik",Lakshmi Movie Makers,[12]
F E B,16,Piriyadha Varam Vendum,Kamal,"Prashanth, Shalini, Jomol",Nekhela Enterprises,[13]
F E B,16,Rishi,Sundar C.,"Sarath Kumar, Meena, Sanghavi",P. A. Art Productions,[14]
F E B,16,Thaalikaatha Kaaliamman,Somasundar,"Prabhu, Kausalya, Sanghavi",Sunar Theatres,[15]
M A R,7,En Purushan Kuzhandhai Maadhiri,S. P. Rajkumar,"Livingston, Devayani, Vindhya, Vadivelu",RR Movie Makers,[16]
M A R,7,Ninaikkatha Naalillai,A. L. Raja,"R. Parthiban, Rahman, Devayani, Kaveri",KRP Productions,[17]
M A R,16,Paarvai Ondre Podhume,Murali Krishna,"Kunal, Monal, Karan",Amudha Movie Makers,[18]
M A R,30,Natchatra Kadhal,Nayakam,"Ajay, Bhavana, Subbalakshmi, Ashok Rao",NRI Films International,[19]
M A R,30,Vinnukum Mannukum,Rajakumaran,"Vikram, Sarathkumar, Devayani, Khushbu",Super Good Films,[20]
A P R,12,Badri,P. A. Arun Prasad,"Vijay, Bhoomika, Monal",Sri Venkateswara Art Films,[21]
A P R,13,Dumm Dumm Dumm,Azhagam Perumal,"R. Madhavan, Jyothika, Vivek, Kalpana",Madras Talkies,[22]
A P R,13,Little John,Singeetham Srinivasa Rao,"Bentley Mitchum, Jyothika, Prakash Raj",Media Dreams,[23]
A P R,13,Seerivarum Kaalai,Ramarajan,"Ramarajan, Abitha",Kanna Cine Arts,[24]
A P R,13,Sri Raja Rajeshwari,Bharathi Kannan,"Ramki, Ramya Krishnan, Sanghavi, Bhanupriya",Sri Thenandal Films,[25]
M A Y,18,Asathal,P. Vasu,"Sathyaraj, Ramya Krishnan, Vadivelu",Maala Creations,[26]
