Opening,Opening.1,Title,Director,Cast,Genre,Producer,Ref
J A N,2,,,,,,
J A N,2,Thiru Vi Ka Poonga,Senthil,"Senthil, Swathi Shanmugam",Drama,The Budget Film Company,[20]
J A N,2,Virudhalaam Pattu,R. Jayakanthan,"Hemanth Kumar, Saniya Srivastav",Romance,Tamizh Thai Productions,[20]
J A N,2,Vishayam Veliye Theriya Koodadhu,A. Raagaventira,"Sentrayan, Ranga",Thriller,Open Eye Theatres,[20]
J A N,9,Kizhakke Udhiththa Kaadhal,K. Muni Shankar,"Aariyan, Lisha, Sumalatha",Comedy drama,Faceon Mediya,[21]
J A N,9,Vettaiyadu,K. S. Vijayabalan,"Vidiyal Raju, Udhayathara, Hari, Prajwal Poovaiah",Drama,Shoundaryan Pictures,[21]
J A N,14,I,Shankar,"Vikram, Amy Jackson, Suresh Gopi, Upen Patel",Romantic thriller,Aascar Film,[22]
J A N,15,Aambala,Sundar C.,"Vishal, Hansika Motwani, Prabhu",Action masala,Vishal Film Factory,[22]
J A N,15,Darling,Sam Anton,"G. V. Prakash Kumar, Nikki Galrani, Karunas, Srushti Dange",Horror comedy,Studio Green Geetha Arts,[22]
J A N,23,Appavi Kateri,Ali Akbar,"Rafiq, Meera, Vimal",Horror,Gopikaa Movie Makers,[23]
J A N,23,Aroopam,Vincent Jayaraj,"Deva, Darshitha",Thriller,Raana Pictures,[23]
J A N,23,Thottal Thodarum,Cable Shankar,"Thaman Kumar, Arundhati",Romantic thriller,FCS Creations,[23]
J A N,30,Dharani,Guhan Sambantham,"Aari, Elango Kumaravel, Ajay Krishna, Sandra Amy, Varunika",Action drama,Dream Factory,[24]
J A N,30,Isai,S. J. Surya,"S. J. Surya, Sathyaraj, Sulagna Panigrahi",Psychological thriller,SS Productions,[24]
J A N,30,Killadi,A. Venkatesh,"Bharath, Nila",Action masala,Sri Saravana Creations,[24]
J A N,30,Pulan Visaranai 2,R. K. Selvamani,"Prashanth, Karthika Mathew, Ashwini, R. K.",Crime thriller,I. V. Cine Productions,[24]
J A N,30,Touring Talkies,S. A. Chandrasekhar,"S. A. Chandrasekhar, Papri Ghosh, Abi Saravanan, Gayatri Rema",Romantic thriller,Staar Makers,[24]
F E B,5,Yennai Arindhaal,Gautham Vasudev Menon,"Ajith Kumar, Arun Vijay, Trisha Krishnan, Anushka Shetty",Action drama,Sri Sai Ram Creations,[25]
F E B,6,Pongi Ezhu Manohara,Ramesh Rangasamy,"Irfan, Arundathi Nair, Archana Vishwanath",Romantic comedy,Banyan Movies,[26]
F E B,13,Anegan,K. V. Anand,"Dhanush, Amyra Dastur, Karthik",Romantic thriller,AGS Entertainment,[27]
F E B,13,Mandodhari,Sampath,"Ranjith, Amar, Dhareena",Horror,Milestone Films,[27]
F E B,13,Manitha Kadhal Alla,Agni,"Agni, Tarushi, Nassar",Romance,BlackSea Movies,[27]
F E B,20,K3,M. S. Annadurai,"Vimal Raja, Aadhira",Thriller,Magic Media,[28]
F E B,20,Sandamarutham,A. Venkatesh,"Sarath Kumar, Meera Nandan, Oviya",Action,Magic Frames,[28]
F E B,20,Tamizhuku En Ondrai Azhuthavum,Ram Prakash Rayappa,"Attakathi Dinesh, Nakul, Bindu Madhavi, Aishwarya Dutta",Social thriller,VLS Rock Cinema,[28]
F E B,27,Ettuthikkum Madhayaanai,K. S. Thangasamy,"Sathya, Sreemukhi",Action,Raattinam Pictures,[29]
F E B,27,Kaaki Sattai,"R. S. Durai Senthilkumar,","Sivakarthikeyan, Sri Divya, Prabhu, Vijay Raaz",Comedy masala,Wunderbar Films,[29]
F E B,27,Manal Naharam,Oru Thalai Raagam Shankar,"Prajin, Gautham Krishna, Thanishka, Varuna Shetty",Romantic drama,DJM Associates,[29]
F E B,27,Vajram,Ramesh Selvan,"Sree Raam, Kishore, Pandi, Bhavani Reddy",Comedy drama,Sri Sairam Film Factory,[29]
M A R,6,Bench Talkies,Six directors,"Vijay Sethupathi, Sananth Reddy",Anthology,Stone Bench Creations,[30]
M A R,6,En Vazhi Thani Vazhi,Shaji Kailas,"R. K., Poonam Kaur, Meenakshi Dixit",Action,Makkal Paasarai,[30]
M A R,6,Enakkul Oruvan,Prasad Ramar,"Siddharth, Deepa Sannidhi, Srushti Dange",Psychological thriller,Thirukumaran Entertainment ABI TCS Studios,[30]
M A R,6,JK Enum Nanbanin Vaazhkai (Direct-to-video),Cheran,"Sharwanand, Nithya Menen, Prakash Raj",Drama,Dream Theatres,[31][32]
M A R,6,Maha Maha,Mathivanan Sakthivel,"Mathivanan Sakthivel, Melisha",Romantic thriller,Sakthi Screens,[30]
M A R,6,Rombha Nallavan Da Nee,A. Venkatesh,"Mirchi Senthil, Sruthi Bala, Sarvajeeth",Comedy,Rendezvous Movie Makers,[30]
M A R,6,Serndhu Polama,Anil Kumar,"Vinay, Madhuurima, Preethi Christina Paul",Romance,Dream Factory,[30]
M A R,6,Thoppi,Youreka,"Murali Ram, Rakshaya Raj",Romantic drama,Nimo Productions,[30]
