Opening,Opening.1,Title,Director,Cast,Production,Unnamed: 6,Studio,Ref,Casta
J A N,7.0,Adangamai,R. Gopal,"Sharon, Priya, Yagave",Vores Pictures,,,,
J A N,7.0,Anbarivu,Aswin Raam,"Hiphop Tamizha, Kashmira Pardeshi, Shivani Rajashekar",Sathya Jyothi Films,[21],,,
J A N,7.0,Idarinum Thalarinum,Raghava Harikesava,"Raghava Harikesava, Ramana, Radharavi",Jingle Bells Films International,[22],,,
J A N,7.0,Pen Vilai Verum 999 Rubai Mattume,Varada Raj,"Rajkamal, Swetha Pandit, Vadivel Balaji",Rainbow Productions,[23],,,
J A N,13.0,Carbon,R. Srinuvasan,"Vidharth, Dhanya Balakrishna",Benchmark Films,[24],,,
J A N,13.0,Enna Solla Pogirai,A. Hariharan,"Ashwin Kumar, Teju Ashwini, Avantika Mishra",Trident Arts,[25],,,
J A N,13.0,Kombu Vatcha Singamda,S. R. Prabhakaran,"M. Sasikumar, Madonna Sebastian, Soori",Redhan The Cinema People,[26],,,
J A N,13.0,Naai Sekar,Kishore Rajkumar,"Sathish, Pavithra Lakshmi, George Maryan",AGS Entertainment,[27],,,
J A N,14.0,Theal,Harikumar,"Prabhu Deva, Samyuktha Hegde, Yogi Babu",Studio Green,[28],,,
J A N,21.0,AGP Schizophrenia,Ramesh Subramaniyan,"Lakshmi Menon, R. V. Bharathan",KSR Studio,[29],,,
J A N,21.0,Marutha,GRS,"Saravanan, Raadhika, Viji Chandrasekhar",Bigway Pictures,[30],,,
J A N,21.0,Mudhal Nee Mudivum Nee,Darbuka Siva,"Kishen Das, Meetha Raghunath, Harini Ramesh",Super Talkies,[31],,,
J A N,28.0,Kondruvidava,K. R. Sreejith,"Haneefa, Ramamoorthy, Mahalakshmi",Edit House Movies,[32],,,
J A N,28.0,Narai Ezhuthum Suyasaritham,K. Manikandan,"Delhi Ganesh, K. Manikandan",G&K Vahinee Productions,[33],,,
J A N,28.0,Sila Nerangalil Sila Manidhargal,Vishal Venkat,"Ashok Selvan, Nassar, K. Manikandan",Trident Arts,[34],,,
F E B,4.0,Arasiyal Sathurangam,Broadway Sundar,"Sumangali Sathish, Udaiyar, Ajees",Vishnu Movie Makers,,,,
F E B,4.0,Pandrikku Nandri Solli,Bala Aran,"Nishanth, Joe Malloori, Vijay Sathya",Head Media Works,[35],,,
F E B,4.0,Saayam,Antony Samy,"Abi Saravanan, Shiny, Ponvannan",White Lamp Productions,[36],,,
F E B,4.0,Veeramae Vaagai Soodum,Thu Pa Saravanan,"Vishal, Dimple Hayathi, Yogi Babu",Vishal Film Factory,[37],,,
F E B,4.0,Yaaro,Sandeep Sai,"Venkat Reddy, Upasana RC, C. M. Bala",TakeOK Productions,[38],,,
F E B,6.0,Anbulla Ghilli,Srinath Ramalingam,"Maithreya Rajasekar, Dushara Vijayan",Rise East Creations,[39],,,
F E B,10.0,Mahaan,Karthik Subbaraj,"Vikram, Dhruv Vikram, Simran, Bobby Simha",Seven Screen Studio,[40],,,
F E B,11.0,Astakarmma,Vijay Tamilselvan,"C. S. Kishan, Nandini Rai, Shritha Sivadas",Mishri Enterprises,[41],,,
F E B,11.0,FIR,Manu Anand,"Vishnu Vishal, Gautham Vasudev Menon, Reba Monica John",Vishnu Vishal Studioz,[42],,,
F E B,11.0,Kadaisi Vivasayi,M. Manikandan,"Nallandi, Vijay Sethupathi, Yogi Babu",Tribal Arts Production,[43],,,
F E B,11.0,Koorman,Bryan B. George,"Rajaji, Janani, Bala Saravanan",MK Entertainment,[44],,,
F E B,11.0,Vidiyadha Iravondru Vendum,Karuppaiyaa Murugan,"Ashok Kumar, Hrithika Srinivas",Battlers Cinema,,,,
F E B,17.0,Veerapandiyapuram,Suseenthiran,"Jai, Meenakshi Govindarajan, Akanksha Singh",Lendi Studio,[45],,,
F E B,24.0,Valimai,H. Vinoth,"Ajith Kumar, Huma Qureshi, Kartikeya Gummakonda",Bayview Projects LLP,[46],,,
M A R,3.0,Hey Sinamika,Brinda,"Dulquer Salmaan, Kajal Aggarwal, Aditi Rao Hydari",Jio Studios & Viacom18 Studios,[47],,,
M A R,10.0,Etharkkum Thunindhavan,Pandiraj,"Suriya, Priyanka Arul Mohan, Vinay Rai",Sun Pictures,[48],,,
